Date,data
23:02.4,-0.002117
23:03.4,-0.003897
23:04.3,-0.004657
23:05.3,-0.004114
23:06.3,-0.003311
23:07.2,-0.002074
23:08.2,-0.001444
23:09.1,-0.002877
23:10.1,-0.004614
23:11.1,-0.004549
23:12.0,-0.003593
23:13.0,-0.002747
23:13.9,-0.001813
23:14.9,-0.001944
23:15.9,-0.003637
23:16.8,-0.004874
23:17.8,-0.004201
23:18.7,-0.002986
23:19.7,-0.002117
23:20.7,-0.001792
23:21.6,-0.002617
23:22.6,-0.004223
23:23.5,-0.004657
23:24.5,-0.003702
23:25.5,-0.002486
23:26.4,-0.001792
23:27.4,-0.002226
23:28.3,-0.003528
23:29.3,-0.004418
23:30.3,-0.004266
23:31.2,-0.003398
23:32.2,-0.002009
23:33.1,-0.001748
23:34.1,-0.003094
23:35.1,-0.004006
23:36.0,-0.004049
23:37.0,-0.004049
23:37.9,-0.002986
23:38.9,-0.001488
23:39.9,-0.002182
23:40.8,-0.003897
23:41.8,-0.003854
23:42.7,-0.003724
23:43.7,-0.003811
23:44.7,-0.002421
23:45.6,-0.001401
23:46.6,-0.002877
23:47.5,-0.004114
23:48.5,-0.003724
23:49.5,-0.003615
23:50.4,-0.003528
23:51.4,-0.002117
23:52.3,-0.001857
23:53.3,-0.003442
23:54.3,-0.004136
23:55.2,-0.003528
23:56.2,-0.003442
23:57.1,-0.003159
23:58.1,-0.002117
23:59.1,-0.002182
24:00.0,-0.003572
24:01.0,-0.004049
24:01.9,-0.003507
24:02.9,-0.003203
24:03.9,-0.002964
24:04.8,-0.002291
24:05.8,-0.002443
24:06.7,-0.003463
24:07.7,-0.004223
24:08.7,-0.003572
24:09.6,-0.002899
24:10.6,-0.002877
24:11.5,-0.002747
24:12.5,-0.002334
24:13.5,-0.003485
24:14.4,-0.004592
24:15.4,-0.003463
24:16.3,-0.002508
24:17.3,-0.003094
24:18.3,-0.002877
24:19.2,-0.001965
24:20.2,-0.00368
24:21.1,-0.005135
24:22.1,-0.003311
